"Drug1","Drug2","Drug1.target","Drug2.target","n.syn","n.syn.score","Drug.num1","Drug.num2"
"Darinaparsin","XL147","arsenic","PI3K",0,-0.486144212447261,60,61
"Darinaparsin","cediranib/AZD2171","arsenic","VEGFR (pan)",0,-0.515637546685811,60,73
"Darinaparsin","nilutamide","arsenic","androgen receptor",0,-0.491688373433493,60,77
"Darinaparsin","pioglitazone","arsenic","PPARg, agonist",0,-0.462376834777457,60,53
"Darinaparsin","tipifarnib","arsenic","FTI",0,-0.539037235704672,60,72
"Darinaparsin","vasastrol","arsenic","KSP (Eg5, kinesin-5)",0,-0.579126505379612,60,67
"Darinaparsin","vorinostat/SAHA","arsenic","HDAC",0,-0.51368883921002,60,96
"Docetaxel","ENMD2076","microtubule agent (taxane)","Aurora A, FLT3, c-KIT, FGFR1/3",0,-1.10500233694345,10,106
"Docetaxel","MK1775","microtubule agent (taxane)","Wee-1",0,-1.10500233694345,10,37
"Docetaxel","NVP-TAE684","microtubule agent (taxane)","ALK",0,-1.10500233694345,10,40
"Docetaxel","PD173074","microtubule agent (taxane)","FGFR1/3",0,-1.10500233694345,10,91
"Docetaxel","palbociclib/PD332991","microtubule agent (taxane)","CDK4/6",0,-1.10500233694345,10,85
"Docetaxel","vatalanib/PTK787","microtubule agent (taxane)","VEFGR (1-4), c-kit, PDGFb",0,-1.10500233694345,10,22
"Dorsomorphin","Embelin","AMPK/BMP antagonist","XIAP",0,-0.66281624732403,39,25
"Dorsomorphin","LSN415169","AMPK/BMP antagonist","gamma secretase",0,-0.498824910243877,39,84
"Dorsomorphin","NVP-TAE684","AMPK/BMP antagonist","ALK",0,-0.715676933983988,39,40
"Dorsomorphin","QS11","AMPK/BMP antagonist","ARFGAP",0,-0.785833620200815,39,28
"Dovitinib/CHIR-258","A769662","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","AMPK agonist",0,-0.623667849566881,35,76
"Dovitinib/CHIR-258","AZD7762","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","Chk1/2",0,-0.623667849566881,35,27
"Dovitinib/CHIR-258","BID1870","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.623667849566881,35,45
"Dovitinib/CHIR-258","C75","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","Fatty Acid Synthase",0,-0.623667849566881,35,47
"Dovitinib/CHIR-258","CP690550","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","JAK3",0,-0.623667849566881,35,70
"Dovitinib/CHIR-258","Darinaparsin","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","arsenic",0,-0.623667849566881,35,60
"Dovitinib/CHIR-258","GSK0660","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","PPARd, ant",0,-0.623667849566881,35,68
"Dovitinib/CHIR-258","GW0742","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","PPARd, agonist",0,-0.623667849566881,35,63
"Dovitinib/CHIR-258","GW2580","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","CSF1R/fms",0,-0.623667849566881,35,71
"Dovitinib/CHIR-258","GW441756","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","TrkA",0,-0.623667849566881,35,82
"Dovitinib/CHIR-258","IPA3","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","PAK",0,-0.623667849566881,35,88
"Dovitinib/CHIR-258","Indole-3-carbinol","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",0,-0.623667849566881,35,89
"Dovitinib/CHIR-258","KU0063794","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","mTOR kinase",0,-0.623667849566881,35,83
"Dovitinib/CHIR-258","LFM-A13","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","BTK, Plk",0,-0.623667849566881,35,90
"Dovitinib/CHIR-258","LSN415169","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","gamma secretase",0,-0.623667849566881,35,84
"Dovitinib/CHIR-258","PD173074","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","FGFR1/3",0,-0.623667849566881,35,91
"Dovitinib/CHIR-258","PIM-1 4a","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","PIM",0,-0.623667849566881,35,36
"Dovitinib/CHIR-258","PLX4720","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","Raf (BRafV600E)",0,-0.623667849566881,35,79
"Dovitinib/CHIR-258","SNS-032","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","CDK2/7/9",0,-0.623667849566881,35,38
"Dovitinib/CHIR-258","SNS314","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","Aurora (pan)",0,-0.720665162247356,35,55
"Dovitinib/CHIR-258","TCS401","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","PTP-1B",0,-0.623667849566881,35,107
"Dovitinib/CHIR-258","Tie2i","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","TIE_2",0,-0.623667849566881,35,48
"Dovitinib/CHIR-258","XAV939","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","tankyrase 1/2",0,-0.634161080241949,35,97
"Dovitinib/CHIR-258","XL147","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","PI3K",0,-0.623667849566881,35,61
"Dovitinib/CHIR-258","YM155","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","survivin/BIRC5",0,-0.971240981170519,35,7
"Dovitinib/CHIR-258","dasatanib","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","Multi (BCR-Abl, EAR, PDGFR, c-kit)",0,-0.825840941807725,35,34
"Dovitinib/CHIR-258","lapatinib","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","EGFR, HER2, ErbB4",0,-0.629638457777285,35,13
"Dovitinib/CHIR-258","lenalidomide","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","TNFa",0,-0.623667849566881,35,98
"Dovitinib/CHIR-258","nilutamide","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","androgen receptor",0,-0.623667849566881,35,77
"Dovitinib/CHIR-258","palbociclib/PD332991","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","CDK4/6",0,-0.661828171752774,35,85
"Dovitinib/CHIR-258","pioglitazone","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","PPARg, agonist",0,-0.623667849566881,35,53
"Dovitinib/CHIR-258","vasastrol","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","KSP (Eg5, kinesin-5)",0,-0.623667849566881,35,67
"ENMD2076","AZD7762","Aurora A, FLT3, c-KIT, FGFR1/3","Chk1/2",0,-0.576736968413919,106,27
"ENMD2076","Bexarotene","Aurora A, FLT3, c-KIT, FGFR1/3","RXR",0,-0.679518810934286,106,29
"ENMD2076","C75","Aurora A, FLT3, c-KIT, FGFR1/3","Fatty Acid Synthase",0,-0.576736968413919,106,47
"ENMD2076","CHIR265","Aurora A, FLT3, c-KIT, FGFR1/3","Raf, VEGFR",0,-0.832256465467991,106,14
"ENMD2076","CP690550","Aurora A, FLT3, c-KIT, FGFR1/3","JAK3",0,-0.576736968413919,106,70
"ENMD2076","Darinaparsin","Aurora A, FLT3, c-KIT, FGFR1/3","arsenic",0,-0.576736968413919,106,60
"ENMD2076","EX527","Aurora A, FLT3, c-KIT, FGFR1/3","SIRT1",0,-0.576736968413919,106,100
"ENMD2076","FH535","Aurora A, FLT3, c-KIT, FGFR1/3","bCatenin",0,-0.776625909303086,106,23
"ENMD2076","GSK650394","Aurora A, FLT3, c-KIT, FGFR1/3","SGK",0,-0.576736968413919,106,94
"ENMD2076","GW0742","Aurora A, FLT3, c-KIT, FGFR1/3","PPARd, agonist",0,-0.576736968413919,106,63
"ENMD2076","GW2580","Aurora A, FLT3, c-KIT, FGFR1/3","CSF1R/fms",0,-0.576736968413919,106,71
"ENMD2076","GW441756","Aurora A, FLT3, c-KIT, FGFR1/3","TrkA",0,-0.576736968413919,106,82
"ENMD2076","Indole-3-carbinol","Aurora A, FLT3, c-KIT, FGFR1/3","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",0,-0.576736968413919,106,89
"ENMD2076","JZL184","Aurora A, FLT3, c-KIT, FGFR1/3","MAGL",0,-0.576736968413919,106,33
"ENMD2076","KU0063794","Aurora A, FLT3, c-KIT, FGFR1/3","mTOR kinase",0,-0.576736968413919,106,83
"ENMD2076","LFM-A13","Aurora A, FLT3, c-KIT, FGFR1/3","BTK, Plk",0,-0.576736968413919,106,90
"ENMD2076","MK1775","Aurora A, FLT3, c-KIT, FGFR1/3","Wee-1",0,-0.576736968413919,106,37
"ENMD2076","NVP-BEZ235","Aurora A, FLT3, c-KIT, FGFR1/3","PI3K/TORC1/TORC2 dual specificity",0,-0.576736968413919,106,78
"ENMD2076","NVP-TAE684","Aurora A, FLT3, c-KIT, FGFR1/3","ALK",0,-0.715676933983988,106,40
"ENMD2076","PD173074","Aurora A, FLT3, c-KIT, FGFR1/3","FGFR1/3",0,-0.576736968413919,106,91
"ENMD2076","PF04217903","Aurora A, FLT3, c-KIT, FGFR1/3","MET",0,-0.576736968413919,106,87
"ENMD2076","PLX4720","Aurora A, FLT3, c-KIT, FGFR1/3","Raf (BRafV600E)",0,-0.583605551051689,106,79
"ENMD2076","SNS-032","Aurora A, FLT3, c-KIT, FGFR1/3","CDK2/7/9",0,-0.576736968413919,106,38
"ENMD2076","SNS314","Aurora A, FLT3, c-KIT, FGFR1/3","Aurora (pan)",0,-0.720665162247356,106,55
"ENMD2076","SU6656","Aurora A, FLT3, c-KIT, FGFR1/3","Lyn/Src/Fyn/Yes",0,-0.608619687998885,106,52
"ENMD2076","SrcI1","Aurora A, FLT3, c-KIT, FGFR1/3","Src",0,-0.691722081855255,106,18
"ENMD2076","TCS401","Aurora A, FLT3, c-KIT, FGFR1/3","PTP-1B",0,-0.576736968413919,106,107
"ENMD2076","Tamatinib/R406","Aurora A, FLT3, c-KIT, FGFR1/3","Syk",0,-0.723583474317687,106,17
"ENMD2076","Tie2i","Aurora A, FLT3, c-KIT, FGFR1/3","TIE_2",0,-0.576736968413919,106,48
"ENMD2076","Veliparib/ABT888","Aurora A, FLT3, c-KIT, FGFR1/3","PARP",0,-0.576736968413919,106,81
"ENMD2076","XAV939","Aurora A, FLT3, c-KIT, FGFR1/3","tankyrase 1/2",0,-0.634161080241949,106,97
"ENMD2076","YM155","Aurora A, FLT3, c-KIT, FGFR1/3","survivin/BIRC5",0,-0.971240981170519,106,7
"ENMD2076","bivanib/BI2536","Aurora A, FLT3, c-KIT, FGFR1/3","Plk1",0,-0.972239456557059,106,8
"ENMD2076","cediranib/AZD2171","Aurora A, FLT3, c-KIT, FGFR1/3","VEGFR (pan)",0,-0.576736968413919,106,73
"ENMD2076","cisplatin","Aurora A, FLT3, c-KIT, FGFR1/3","alkylating agent (platinum)",0,-0.576736968413919,106,21
"ENMD2076","dasatanib","Aurora A, FLT3, c-KIT, FGFR1/3","Multi (BCR-Abl, EAR, PDGFR, c-kit)",0,-0.825840941807725,106,34
"ENMD2076","everolimus","Aurora A, FLT3, c-KIT, FGFR1/3","mTor",0,-0.616926014875453,106,41
"ENMD2076","gemcitabine","Aurora A, FLT3, c-KIT, FGFR1/3","Antimetabolite (pyrimidine)",0,-0.576736968413919,106,50
"ENMD2076","lenalidomide","Aurora A, FLT3, c-KIT, FGFR1/3","TNFa",0,-0.576736968413919,106,98
"ENMD2076","nilutamide","Aurora A, FLT3, c-KIT, FGFR1/3","androgen receptor",0,-0.576736968413919,106,77
"ENMD2076","palbociclib/PD332991","Aurora A, FLT3, c-KIT, FGFR1/3","CDK4/6",0,-0.661828171752774,106,85
"ENMD2076","pioglitazone","Aurora A, FLT3, c-KIT, FGFR1/3","PPARg, agonist",0,-0.576736968413919,106,53
"ENMD2076","stibogluconate","Aurora A, FLT3, c-KIT, FGFR1/3","SHP1/2/PTP1B",0,-0.735023407358709,106,54
"ENMD2076","temozolomide","Aurora A, FLT3, c-KIT, FGFR1/3","alkylating agent (tetrazine)",0,-0.576736968413919,106,75
"ENMD2076","tipifarnib","Aurora A, FLT3, c-KIT, FGFR1/3","FTI",0,-0.576736968413919,106,72
"ENMD2076","vatalanib/PTK787","Aurora A, FLT3, c-KIT, FGFR1/3","VEFGR (1-4), c-kit, PDGFb",0,-0.576736968413919,106,22
"ENMD2076","vorinostat/SAHA","Aurora A, FLT3, c-KIT, FGFR1/3","HDAC",0,-0.576736968413919,106,96
"EX527","A769662","SIRT1","AMPK agonist",0,-0.498552331742665,100,76
"EX527","AS252424","SIRT1","PI3K (gamma)",0,-0.498552331742665,100,62
"EX527","AZD7762","SIRT1","Chk1/2",0,-0.52582413845089,100,27
"EX527","BID1870","SIRT1","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.498552331742665,100,45
"EX527","BMS536924","SIRT1","Multi (IGFR1R, InR, FAK)",0,-0.537308548774011,100,44
"EX527","C75","SIRT1","Fatty Acid Synthase",0,-0.498552331742665,100,47
"EX527","CP690550","SIRT1","JAK3",0,-0.525433461134538,100,70
"EX527","Embelin","SIRT1","XIAP",0,-0.66281624732403,100,25
"EX527","FH535","SIRT1","bCatenin",0,-0.776625909303086,100,23
"EX527","GSK650394","SIRT1","SGK",0,-0.562294402526688,100,94
"EX527","GW2580","SIRT1","CSF1R/fms",0,-0.568090153959639,100,71
"EX527","GW441756","SIRT1","TrkA",0,-0.498552331742665,100,82
"EX527","GW9662","SIRT1","PPARg",0,-0.544762836911572,100,58
"EX527","HIF-1i","SIRT1","HIFa",0,-0.576765916672163,100,30
"EX527","KU55933","SIRT1","ATM",0,-0.498552331742665,100,46
"EX527","L779450","SIRT1","Raf",0,-0.669127045821852,100,51
"EX527","PF04217903","SIRT1","MET",0,-0.498552331742665,100,87
"EX527","PIM-1 4a","SIRT1","PIM",0,-0.498552331742665,100,36
"EX527","QS11","SIRT1","ARFGAP",0,-0.785833620200815,100,28
"EX527","SNS-032","SIRT1","CDK2/7/9",0,-0.498552331742665,100,38
"EX527","SU6656","SIRT1","Lyn/Src/Fyn/Yes",0,-0.608619687998885,100,52
"EX527","SrcI1","SIRT1","Src",0,-0.691722081855255,100,18
"EX527","T0901317","SIRT1","LXR",0,-0.518870965006205,100,56
"EX527","Tie2i","SIRT1","TIE_2",0,-0.570361695650041,100,48
"EX527","U73122","SIRT1","PLC",0,-0.881224589169399,100,20
"EX527","cediranib/AZD2171","SIRT1","VEGFR (pan)",0,-0.515637546685811,100,73
"EX527","tipifarnib","SIRT1","FTI",0,-0.539037235704672,100,72
"EX527","vasastrol","SIRT1","KSP (Eg5, kinesin-5)",0,-0.579126505379612,100,67
"Embelin","BID1870","XIAP","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.66281624732403,25,45
"Embelin","C75","XIAP","Fatty Acid Synthase",0,-0.66281624732403,25,47
"Embelin","KU55933","XIAP","ATM",0,-0.66281624732403,25,46
"Embelin","PIM-1 4a","XIAP","PIM",0,-0.66281624732403,25,36
"Enzastaurin","BMS536924","PKCbeta","Multi (IGFR1R, InR, FAK)",0,-0.68194261879265,31,44
"Enzastaurin","CHIR265","PKCbeta","Raf, VEGFR",0,-0.832256465467991,31,14
"Enzastaurin","CP690550","PKCbeta","JAK3",0,-0.68194261879265,31,70
"Enzastaurin","EX527","PKCbeta","SIRT1",0,-0.68194261879265,31,100
"Enzastaurin","GSK0660","PKCbeta","PPARd, ant",0,-0.68194261879265,31,68
"Enzastaurin","GW2580","PKCbeta","CSF1R/fms",0,-0.68194261879265,31,71
"Enzastaurin","Indole-3-carbinol","PKCbeta","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",0,-0.68194261879265,31,89
"Enzastaurin","JNK5a","PKCbeta","JNK",0,-0.68194261879265,31,86
"Enzastaurin","JZL184","PKCbeta","MAGL",0,-0.68194261879265,31,33
"Enzastaurin","L779450","PKCbeta","Raf",0,-0.68194261879265,31,51
"Enzastaurin","Lestaurtinib","PKCbeta","Multi (Flt2, TrkA, RET, JAK2)",0,-0.68194261879265,31,101
"Enzastaurin","MK2206","PKCbeta","Akt",0,-0.68194261879265,31,59
"Enzastaurin","NVP-BEZ235","PKCbeta","PI3K/TORC1/TORC2 dual specificity",0,-0.68194261879265,31,78
"Enzastaurin","Nutlin-3","PKCbeta","MDM2/p53",0,-0.68194261879265,31,95
"Enzastaurin","PD173074","PKCbeta","FGFR1/3",0,-0.68194261879265,31,91
"Enzastaurin","PF04217903","PKCbeta","MET",0,-0.68194261879265,31,87
"Enzastaurin","PLX4720","PKCbeta","Raf (BRafV600E)",0,-0.68194261879265,31,79
"Enzastaurin","SU6656","PKCbeta","Lyn/Src/Fyn/Yes",0,-0.68194261879265,31,52
"Enzastaurin","T0901317","PKCbeta","LXR",0,-0.68194261879265,31,56
"Enzastaurin","TCS401","PKCbeta","PTP-1B",0,-0.68194261879265,31,107
"Enzastaurin","Tideglusib/TZDZ-8","PKCbeta","GSK3",0,-0.68194261879265,31,80
"Enzastaurin","U73122","PKCbeta","PLC",0,-0.881224589169399,31,20
"Enzastaurin","VX702","PKCbeta","p38",0,-0.68194261879265,31,74
"Enzastaurin","Veliparib/ABT888","PKCbeta","PARP",0,-0.68194261879265,31,81
"Enzastaurin","Vismodegib/GDC0449","PKCbeta","Hh",0,-0.68194261879265,31,104
"Enzastaurin","XAV939","PKCbeta","tankyrase 1/2",0,-0.68194261879265,31,97
"Enzastaurin","ZM336372","PKCbeta","Raf (c-Raf)",0,-0.68194261879265,31,43
"Enzastaurin","cisplatin","PKCbeta","alkylating agent (platinum)",0,-0.68194261879265,31,21
"Enzastaurin","erlotinib","PKCbeta","EGFR",0,-0.68194261879265,31,65
"Enzastaurin","gemcitabine","PKCbeta","Antimetabolite (pyrimidine)",0,-0.68194261879265,31,50
"Enzastaurin","lenalidomide","PKCbeta","TNFa",0,-0.68194261879265,31,98
"Enzastaurin","pioglitazone","PKCbeta","PPARg, agonist",0,-0.68194261879265,31,53
"Enzastaurin","stibogluconate","PKCbeta","SHP1/2/PTP1B",0,-0.735023407358709,31,54
"FH535","BID1870","bCatenin","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.776625909303086,23,45
"FH535","C75","bCatenin","Fatty Acid Synthase",0,-0.776625909303086,23,47
"FH535","GW441756","bCatenin","TrkA",0,-0.776625909303086,23,82
"FK866","CHIR265","NAMPRT","Raf, VEGFR",0,-0.870775866596929,12,14
"FK866","EX527","NAMPRT","SIRT1",0,-0.870775866596929,12,100
"FK866","Embelin","NAMPRT","XIAP",0,-0.870775866596929,12,25
"FK866","FH535","NAMPRT","bCatenin",0,-0.870775866596929,12,23
"FK866","GSK650394","NAMPRT","SGK",0,-0.870775866596929,12,94
"FK866","GW441756","NAMPRT","TrkA",0,-0.870775866596929,12,82
"FK866","LSN415169","NAMPRT","gamma secretase",0,-0.870775866596929,12,84
"FK866","MK1775","NAMPRT","Wee-1",0,-0.870775866596929,12,37
"FK866","Nutlin-3","NAMPRT","MDM2/p53",0,-0.870775866596929,12,95
"FK866","PIM-1 4a","NAMPRT","PIM",0,-0.870775866596929,12,36
"FK866","SNS314","NAMPRT","Aurora (pan)",0,-0.870775866596929,12,55
"FK866","SU6656","NAMPRT","Lyn/Src/Fyn/Yes",0,-0.870775866596929,12,52
"FK866","T0901317","NAMPRT","LXR",0,-0.870775866596929,12,56
"FK866","TCS401","NAMPRT","PTP-1B",0,-0.870775866596929,12,107
"FK866","XAV939","NAMPRT","tankyrase 1/2",0,-0.870775866596929,12,97
"FK866","everolimus","NAMPRT","mTor",0,-0.870775866596929,12,41
"FK866","palbociclib/PD332991","NAMPRT","CDK4/6",0,-0.870775866596929,12,85
"FK866","tipifarnib","NAMPRT","FTI",0,-0.870775866596929,12,72
"FK866","vorinostat/SAHA","NAMPRT","HDAC",0,-0.870775866596929,12,96
"GSK0660","AS252424","PPARd, ant","PI3K (gamma)",0,-0.49316649604052,68,62
"GSK0660","BID1870","PPARd, ant","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.457406294761294,68,45
"GSK0660","C75","PPARd, ant","Fatty Acid Synthase",0,-0.465026949113321,68,47
"GSK0660","FH535","PPARd, ant","bCatenin",0,-0.776625909303086,68,23
"GSK0660","GW2580","PPARd, ant","CSF1R/fms",0,-0.568090153959639,68,71
"GSK0660","GW441756","PPARd, ant","TrkA",0,-0.457406294761294,68,82
"GSK0660","HIF-1i","PPARd, ant","HIFa",0,-0.576765916672163,68,30
"GSK0660","JZL184","PPARd, ant","MAGL",0,-0.457406294761294,68,33
"GSK0660","KU0063794","PPARd, ant","mTOR kinase",0,-0.457406294761294,68,83
"GSK0660","KU55933","PPARd, ant","ATM",0,-0.457406294761294,68,46
"GSK0660","L779450","PPARd, ant","Raf",0,-0.669127045821852,68,51
"GSK0660","LFM-A13","PPARd, ant","BTK, Plk",0,-0.55612563086746,68,90
"GSK0660","LSN415169","PPARd, ant","gamma secretase",0,-0.498824910243877,68,84
"GSK0660","NVP-TAE684","PPARd, ant","ALK",0,-0.715676933983988,68,40
"GSK0660","PD173074","PPARd, ant","FGFR1/3",0,-0.457406294761294,68,91
"GSK0660","TCS401","PPARd, ant","PTP-1B",0,-0.47739223071774,68,107
"GSK0660","Tie2i","PPARd, ant","TIE_2",0,-0.570361695650041,68,48
"GSK0660","XAV939","PPARd, ant","tankyrase 1/2",0,-0.634161080241949,68,97
"GSK0660","vasastrol","PPARd, ant","KSP (Eg5, kinesin-5)",0,-0.579126505379612,68,67
"GSK650394","AS252424","SGK","PI3K (gamma)",0,-0.562294402526688,94,62
"GSK650394","BID1870","SGK","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.562294402526688,94,45
"GSK650394","C75","SGK","Fatty Acid Synthase",0,-0.562294402526688,94,47
"GSK650394","FH535","SGK","bCatenin",0,-0.776625909303086,94,23
"GSK650394","GSK0660","SGK","PPARd, ant",0,-0.562294402526688,94,68
"GSK650394","GW0742","SGK","PPARd, agonist",0,-0.562294402526688,94,63
"GSK650394","GW9662","SGK","PPARg",0,-0.562294402526688,94,58
"GSK650394","L779450","SGK","Raf",0,-0.669127045821852,94,51
"GSK650394","LFM-A13","SGK","BTK, Plk",0,-0.562294402526688,94,90
"GSK650394","LSN415169","SGK","gamma secretase",0,-0.562294402526688,94,84
"GSK650394","NVP-TAE684","SGK","ALK",0,-0.715676933983988,94,40
"GSK650394","PD173074","SGK","FGFR1/3",0,-0.562294402526688,94,91
"GSK650394","PIM-1 4a","SGK","PIM",0,-0.562294402526688,94,36
"GSK650394","SrcI1","SGK","Src",0,-0.691722081855255,94,18
"GSK650394","T0901317","SGK","LXR",0,-0.562294402526688,94,56
"GSK650394","Tie2i","SGK","TIE_2",0,-0.570361695650041,94,48
"GSK650394","Wnti","SGK","bCatenin",0,-1.05885970732415,94,3
"GSK650394","XAV939","SGK","tankyrase 1/2",0,-0.634161080241949,94,97
"GSK650394","pioglitazone","SGK","PPARg, agonist",0,-0.562294402526688,94,53
"GSK650394","vasastrol","SGK","KSP (Eg5, kinesin-5)",0,-0.579126505379612,94,67
"GW0742","AS252424","PPARd, agonist","PI3K (gamma)",0,-0.511018322172174,63,62
"GW0742","C75","PPARd, agonist","Fatty Acid Synthase",0,-0.511018322172174,63,47
"GW0742","Dorsomorphin","PPARd, agonist","AMPK/BMP antagonist",0,-0.511018322172174,63,39
"GW0742","FH535","PPARd, agonist","bCatenin",0,-0.776625909303086,63,23
"GW0742","JZL184","PPARd, agonist","MAGL",0,-0.511018322172174,63,33
"GW0742","KU55933","PPARd, agonist","ATM",0,-0.511018322172174,63,46
"GW0742","L779450","PPARd, agonist","Raf",0,-0.669127045821852,63,51
"GW0742","LFM-A13","PPARd, agonist","BTK, Plk",0,-0.55612563086746,63,90
"GW0742","NVP-TAE684","PPARd, agonist","ALK",0,-0.715676933983988,63,40
"GW0742","PIM-1 4a","PPARd, agonist","PIM",0,-0.511018322172174,63,36
"GW0742","QS11","PPARd, agonist","ARFGAP",0,-0.785833620200815,63,28
"GW0742","TCS401","PPARd, agonist","PTP-1B",0,-0.511018322172174,63,107
"GW0742","Tie2i","PPARd, agonist","TIE_2",0,-0.570361695650041,63,48
"GW2580","AS252424","CSF1R/fms","PI3K (gamma)",0,-0.568090153959639,71,62
"GW2580","Embelin","CSF1R/fms","XIAP",0,-0.66281624732403,71,25
"GW2580","GW0742","CSF1R/fms","PPARd, agonist",0,-0.568090153959639,71,63
"GW2580","GW441756","CSF1R/fms","TrkA",0,-0.568090153959639,71,82
"GW2580","HIF-1i","CSF1R/fms","HIFa",0,-0.576765916672163,71,30
"GW2580","JZL184","CSF1R/fms","MAGL",0,-0.568090153959639,71,33
"GW2580","L779450","CSF1R/fms","Raf",0,-0.669127045821852,71,51
"GW2580","LFM-A13","CSF1R/fms","BTK, Plk",0,-0.568090153959639,71,90
"GW2580","LSN415169","CSF1R/fms","gamma secretase",0,-0.568090153959639,71,84
"GW2580","NVP-TAE684","CSF1R/fms","ALK",0,-0.715676933983988,71,40
"GW2580","PIM-1 4a","CSF1R/fms","PIM",0,-0.568090153959639,71,36
"GW2580","T0901317","CSF1R/fms","LXR",0,-0.568090153959639,71,56
"GW2580","TCS401","CSF1R/fms","PTP-1B",0,-0.568090153959639,71,107
"GW2580","XAV939","CSF1R/fms","tankyrase 1/2",0,-0.634161080241949,71,97
"GW2580","vasastrol","CSF1R/fms","KSP (Eg5, kinesin-5)",0,-0.579126505379612,71,67
"GW441756","BID1870","TrkA","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.446707698911401,82,45
"GW441756","C75","TrkA","Fatty Acid Synthase",0,-0.465026949113321,82,47
"GW9662","C75","PPARg","Fatty Acid Synthase",0,-0.544762836911572,58,47
"GW9662","Embelin","PPARg","XIAP",0,-0.66281624732403,58,25
"GW9662","GSK0660","PPARg","PPARd, ant",0,-0.544762836911572,58,68
"GW9662","GW2580","PPARg","CSF1R/fms",0,-0.568090153959639,58,71
"GW9662","GW441756","PPARg","TrkA",0,-0.544762836911572,58,82
"GW9662","HIF-1i","PPARg","HIFa",0,-0.576765916672163,58,30
"GW9662","KU0063794","PPARg","mTOR kinase",0,-0.544762836911572,58,83
"GW9662","L779450","PPARg","Raf",0,-0.669127045821852,58,51
"GW9662","LFM-A13","PPARg","BTK, Plk",0,-0.55612563086746,58,90
"GW9662","LSN415169","PPARg","gamma secretase",0,-0.544762836911572,58,84
"GW9662","SrcI1","PPARg","Src",0,-0.691722081855255,58,18
"GW9662","T0901317","PPARg","LXR",0,-0.544762836911572,58,56
"GW9662","U73122","PPARg","PLC",0,-0.881224589169399,58,20
"GW9662","XAV939","PPARg","tankyrase 1/2",0,-0.634161080241949,58,97
"HIF-1i","BID1870","HIFa","RSK (RSK1/2/3/5/, PLK1, ARKB)",0,-0.576765916672163,30,45
"HIF-1i","C75","HIFa","Fatty Acid Synthase",0,-0.576765916672163,30,47
"HIF-1i","GW0742","HIFa","PPARd, agonist",0,-0.576765916672163,30,63
"HIF-1i","L779450","HIFa","Raf",0,-0.669127045821852,30,51
